"wǒ";"I/me";"chinese pronouns"
"nǐ";"you (singular)";"chinese pronouns"
"tā";"he/him she/her";"chinese pronouns"
"wǒmen";"we/us";"chinese pronouns"
"nǐmen";"you (plural)";"chinese pronouns"
"tāmen";"they/them";"chinese pronouns"
"rè";"hot";"chinese vocabulary"
"bīng";"ice, cold";"chinese vocabulary"
"lěng";"cold";"chinese vocabulary"
"hóng";"black";"chinese vocabulary"
"shū fú";"comfortable";"chinese vocabulary"
"tiān qì";"weather";"chinese vocabulary"
"dà (大)";"big";"chinese vocabulary"
"zhōng (中)";"middle";"chinese vocabulary"
"xiǎo (小)";"small";"chinese vocabulary"
"shàng (上)";"up";"chinese vocabulary"
"xià (下)";"down";"chinese vocabulary"
"lóu";"floor";"chinese vocabulary"
"è";"hungry";"chinese vocabulary"
"kě";"thirsty";"chinese vocabulary"
"máng";"busy";"chinese vocabulary"
"lèi";"tired";"chinese vocabulary"
"kǎo";"fire";"chinese vocabulary"
"kǎo ròu";"barbecue";"chinese vocabulary"
"shàng wǎng";"internet";"chinese vocabulary"
"māo";"cat";"chinese vocabulary"
"gǒu";"dog";"chinese vocabulary"
"qiàn";"money";"chinese vocabulary shopping"
"guì";"expensive";"chinese vocabulary shopping"
"tài guì";"too expensive";"chinese vocabulary shopping"
"piányí";"cheap";"chinese vocabulary shopping"
"yǒumíng";"famous";"chinese vocabulary shopping"
"gāo";"tall";"chinese vocabulary shopping"
"màn";"slow";"chinese vocabulary shopping"
"duì bù qǐ";"I am sorry / Excuse me";"chinese vocabulary shopping"
"méi guān xi";"Doesn't matter / Nevermind";"chinese vocabulary shopping"
"xiè xiè -> bú kè qi";"thank you -> you're welcome";"chinese vocabulary shopping"
"hǎo";"good";"chinese vocabulary shopping"
"duì";"correct";"chinese vocabulary shopping"
"bú duì";"incorrect";"chinese vocabulary shopping"
"yě";"also";"chinese vocabulary shopping"
"dǒng";"understand";"chinese vocabulary shopping"
"zhě";"this";"chinese vocabulary shopping"
"nà";"that";"chinese vocabulary shopping"
"hái hǎo";"ok, so so";"chinese vocabulary shopping"
"zài";"again";"chinese vocabulary shopping"
"kāi";"open";"chinese vocabulary shopping"
"kāi dēng";"turn on lights";"chinese vocabulary shopping"
"kāi jī";"turn on computer";"chinese vocabulary shopping"
"xúe shēng";"student";"chinese vocabulary people"
"dà rén";"adult";"chinese vocabulary people"
"péng yǒu";"friend";"chinese vocabulary people"
"tóng xué";"class mate";"chinese vocabulary people"
"shì yoǔ";"room mate";"chinese vocabulary people"
"nǚ";"female";"chinese vocabulary people"
"nán";"male";"chinese vocabulary people"
"xiǎojiě (小姐)";"miss, lady";"chinese vocabulary people"
"piào liàng";"pretty";"chinese vocabulary people"
"shuài";"handsome";"chinese vocabulary people"
"zhuō zi";"table";"chinese vocabulary things"
"yǐ zi";"chair";"chinese vocabulary things"
"xiě (鞋)";"shoes";"chinese vocabulary things"
"yīfú (衣服)";"clothes";"chinese vocabulary things"
"bǐ (筆)";"pen";"chinese vocabulary things"
"shū (書)";"book";"chinese vocabulary things"
"yǎu jìng";"glasses";"chinese vocabulary things"
"jīng";"eyes";"chinese vocabulary things"
"tǔ (土)";"earth";"chinese vocabulary things"
"diàn";"electricity";"chinese vocabulary things"
"nǎo";"brain";"chinese vocabulary things"
"diàn nǎo";"computer";"chinese vocabulary things"
"diàn dēng";"lamp, light";"chinese vocabulary things"
"diàn huà";"telephone";"chinese vocabulary things"
"jī";"machine";"chinese vocabulary things"
"shǒu";"hand";"chinese vocabulary things"
"shǒu jī";"cellphone";"chinese vocabulary things"
"fēi";"fly";"chinese vocabulary things"
"fēi jī";"airplane";"chinese vocabulary things"
"diàn shì";"TV";"chinese vocabulary things"
"diàn yǐng";"movie";"chinese vocabulary things"
"qiú";"ball";"chinese vocabulary things"
"wǎng qiú";"tennis";"chinese vocabulary things"
"chē (車)";"vehicle, car";"chinese vocabulary things"
"shàng chē";"board the vehicle";"chinese vocabulary things"
"xià chē";"exit the vehicle";"chinese vocabulary things"
"jiǎo";"foot";"chinese vocabulary things"
"tà";"step";"chinese vocabulary things"
"jiǎo tà chē";"bicycle";"chinese vocabulary things"
"shuǐ (水)";"water";"chinese vocabulary drinks"
"kāfēi";"coffee";"chinese vocabulary drinks"
"chá (茶)";"tea";"chinese vocabulary drinks"
"pí jiǔ (啤酒)";"beer";"chinese vocabulary drinks"
"jì wěi jiǔ";"cocktail";"chinese vocabulary drinks"
"jiǔ (酒)";"wine, alcohol";"chinese vocabulary drinks"
"kělè (可樂)";"coke";"chinese vocabulary drinks"
"niúnǎi";"milk";"chinese vocabulary drinks"
"nǎichá (奶茶)";"milk tea";"chinese vocabulary drinks"
"guǒ zhī (果汁)";"fruit juice";"chinese vocabulary drinks"
"píng guǒ zhī";"apple juice";"chinese vocabulary drinks"
"bāo zi";"bun";"chinese vocabulary food"
"miàn bao";"bread";"chinese vocabulary food"
"fàn (飯)";"rice";"chinese vocabulary food"
"miàn";"noodle";"chinese vocabulary food"
"ròu (肉)";"meat";"chinese vocabulary food"
"niúròu";"beef";"chinese vocabulary food"
"jīrò";"chicken";"chinese vocabulary food"
"zhùròu";"pork";"chinese vocabulary food"
"yú";"fish";"chinese vocabulary food"
"cài";"vegetable";"chinese vocabulary food"
"qiǎ kè li";"chocolate";"chinese vocabulary food"
"táng";"sugar";"chinese vocabulary food"
"tāng";"soup";"chinese vocabulary food"
"xián";"salty";"chinese vocabulary food"
"hǎo chī";"delicious";"chinese vocabulary food"
"shuǐ guǒ (水果)";"fruits";"chinese vocabulary fruits"
"píng guǒ";"apple";"chinese vocabulary fruits"
"cǎo méi";"strawberry";"chinese vocabulary fruits"
"xiāng jiāo";"banana";"chinese vocabulary fruits"
"máng guǒ";"mango";"chinese vocabulary fruits"
"pútáo";"grapes";"chinese vocabulary fruits"
"níng méng";"lemon";"chinese vocabulary fruits"
"Jiékè";"Czech Republic";"chinese vocabulary countries"
"Faguó";"France";"chinese vocabulary countries"
"Deguò";"Germany";"chinese vocabulary countries"
"Zhōng quó";"China";"chinese vocabulary countries"
"Hán guó";"Korea";"chinese vocabulary countries"
"Yuè nám";"Vietnam";"chinese vocabulary countries"
"Yì ní";"Indonesia";"chinese vocabulary countries"
"rén (人)";"person";"chinese vocabulary family"
"màma";"mother";"chinese vocabulary family"
"bàba";"father";"chinese vocabulary family"
"gēge";"older brother";"chinese vocabulary family"
"dìdi";"younger brother";"chinese vocabulary family"
"jiě jie";"older sister";"chinese vocabulary family"
"mèi mei";"younger sister";"chinese vocabulary family"
"tàitài";"wife";"chinese vocabulary family"
"xiānshēng";"husband";"chinese vocabulary family"
"xǐ huān";"like";"chinese verbs"
"ài";"love";"chinese verbs"
"yào";"want";"chinese verbs"
"yǒu";"have";"chinese verbs"
"mei yǒu";"have not";"chinese verbs"
"shì";"to be";"chinese verbs"
"zuò (做)";"do";"chinese verbs"
"zuò (坐)";"sit";"chinese verbs"
"shuō";"speak";"chinese verbs"
"xué";"study";"chinese verbs"
"kàn";"look";"chinese verbs"
"kàn shū";"read";"chinese verbs"
"niàn shù";"read/study";"chinese verbs"
"xiě";"write";"chinese verbs"
"wèn";"ask";"chinese verbs"
"wěn";"kiss";"chinese verbs"
"wén";"smell";"chinese verbs"
"lǚ xíng";"travel";"chinese verbs"
